Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE
AI504,Air India,"00:05   07, Oct.","23:37   06, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
SQ512,Singapore Airlines,"00:05   07, Oct.","23:39   06, Oct.",Singapore   ,SIN,T2,Bengaluru, (BLR)
6E6505,IndiGo,"00:15   07, Oct.","23:52   06, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
I5978,AirAsia India,"00:20   07, Oct.","23:59   06, Oct.",Visakhapatnam   ,VTZ,T2,Bengaluru, (BLR)
I51130,AirAsia India,"00:05   07, Oct.","00:02   07, Oct.",Kochi   ,COK,T2,Bengaluru, (BLR)
SG534,SpiceJet,"00:10   07, Oct.","00:02   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6338,IndiGo,"00:25   07, Oct.","00:03   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
QP1541,Akasa Air,"00:25   07, Oct.","00:05   07, Oct.",Guwahati   ,GAU,,Bengaluru, (BLR)
6E6806,IndiGo,"00:35   07, Oct.","00:09   07, Oct.",Goa   ,GOI,,Bengaluru, (BLR)
I51784,AirAsia India,"00:40   07, Oct.","00:24   07, Oct.",Bhubaneswar   ,BBI,T2,Bengaluru, (BLR)
I5673,AirAsia India,"00:25   07, Oct.","00:25   07, Oct.",Guwahati   ,GAU,T2,Bengaluru, (BLR)
6E6744,IndiGo,"00:30   07, Oct.","00:31   07, Oct.",Indore   ,IDR,,Bengaluru, (BLR)
6E2131,IndiGo,"00:35   07, Oct.","00:35   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
I5976,AirAsia India,"00:50   07, Oct.","00:35   07, Oct.",Pune   ,PNQ,T2,Bengaluru, (BLR)
6E6627,IndiGo,"00:50   07, Oct.","00:36   07, Oct.",Thiruvananthapuram   ,TRV,,Bengaluru, (BLR)
SG393,SpiceJet,"00:40   07, Oct.","00:40   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E5125,IndiGo,"00:50   07, Oct.","00:40   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E949,IndiGo,"01:00   07, Oct.","00:48   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
LH754,Lufthansa,"01:25   07, Oct.","00:56   07, Oct.",Frankfurt   ,FRA,T2,Bengaluru, (BLR)
6E6354,IndiGo,"01:15   07, Oct.","01:01   07, Oct.",Lucknow   ,LKO,,Bengaluru, (BLR)
I5472,AirAsia India,"01:15   07, Oct.","01:15   07, Oct.",Goa   ,GOI,T2,Bengaluru, (BLR)
6E6565,IndiGo,"01:40   07, Oct.","01:23   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
I51534,AirAsia India,"01:35   07, Oct.","01:28   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
QP1409,Akasa Air,"01:45   07, Oct.","01:30   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
QP1318,Akasa Air,"01:40   07, Oct.","01:31   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
6E373,IndiGo,"01:35   07, Oct.","01:35   07, Oct.",Jaipur   ,JAI,,Bengaluru, (BLR)
6E996,IndiGo,"02:00   07, Oct.","01:37   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
QR572,Qatar Airways,"02:25   07, Oct.","01:52   07, Oct.",Doha   ,DOH,T2,Bengaluru, (BLR)
6E6406,IndiGo,"02:15   07, Oct.","01:58   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
QP1103,Akasa Air,"02:20   07, Oct.","02:10   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E6953,IndiGo,"02:40   07, Oct.","02:17   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E1302,IndiGo,"02:40   07, Oct.","02:20   07, Oct.",Doha   ,DOH,T2,Bengaluru, (BLR)
SG8143,SpiceJet,"02:40   07, Oct.","02:40   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
EK568,Emirates,"02:50   07, Oct.","02:49   07, Oct.",Dubai   ,DXB,T2,Bengaluru, (BLR)
EY216,Etihad,"03:15   07, Oct.","03:15   07, Oct.",Abu Dhabi   ,AUH,T2,Bengaluru, (BLR)
I5975,AirAsia India,"03:20   07, Oct.","03:20   07, Oct.",Pune   ,PNQ,T2,Bengaluru, (BLR)
6E1486,IndiGo,"04:10   07, Oct.","03:31   07, Oct.",Dubai   ,DXB,T2,Bengaluru, (BLR)
I52992,AirAsia India,"03:40   07, Oct.","03:40   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
GF282,Gulf Air,"03:55   07, Oct.","03:45   07, Oct.",Manama   ,BAH,T2,Bengaluru, (BLR)
G9496,Air Arabia,"03:50   07, Oct.","03:50   07, Oct.",Sharjah   ,SHJ,T2,Bengaluru, (BLR)
BA119,British Airways,"04:45   07, Oct.","04:17   07, Oct.",London   ,LHR,T2,Bengaluru, (BLR)
6E338,IndiGo,"04:30   07, Oct.","04:20   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
6E6336,IndiGo,"05:55   07, Oct.","05:45   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
AI621,Air India,"05:50   07, Oct.","05:50   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E702,IndiGo,"06:25   07, Oct.","06:15   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
AI514,Air India,"06:25   07, Oct.","06:25   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E887,IndiGo,"06:45   07, Oct.","06:35   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
6E2067,IndiGo,"06:45   07, Oct.","06:35   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6422,IndiGo,"06:50   07, Oct.","06:40   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
6E6438,IndiGo,"06:50   07, Oct.","06:40   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
IX9502,Air India Express,"06:55   07, Oct.","06:55   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
I51576,AirAsia India,"06:55   07, Oct.","06:55   07, Oct.",Goa   ,GOI,T2,Bengaluru, (BLR)
6E6075,IndiGo,"07:15   07, Oct.","07:05   07, Oct.",Goa   ,GOX,,Bengaluru, (BLR)
6E1006,IndiGo,"07:20   07, Oct.","07:10   07, Oct.",Singapore   ,SIN,T2,Bengaluru, (BLR)
I51982,AirAsia India,"07:40   07, Oct.","07:40   07, Oct.",Kochi   ,COK,T2,Bengaluru, (BLR)
6E255,IndiGo,"07:50   07, Oct.","07:40   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
6E5352,IndiGo,"07:50   07, Oct.","07:40   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
UK845,Vistara,"07:45   07, Oct.","07:45   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E701,IndiGo,"07:55   07, Oct.","07:45   07, Oct.",Indore   ,IDR,,Bengaluru, (BLR)
6E728,IndiGo,"08:00   07, Oct.","07:50   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
6E839,IndiGo,"08:10   07, Oct.","08:00   07, Oct.",Jaipur   ,JAI,,Bengaluru, (BLR)
6E7202,IndiGo,"08:15   07, Oct.","08:05   07, Oct.",Kozhikode   ,CCJ,,Bengaluru, (BLR)
6E771,IndiGo,"08:15   07, Oct.","08:05   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
6E619,IndiGo,"08:25   07, Oct.","08:15   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
I5819,AirAsia India,"08:20   07, Oct.","08:20   07, Oct.",Pune   ,PNQ,T2,Bengaluru, (BLR)
6E797,IndiGo,"08:30   07, Oct.","08:20   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
6E6612,IndiGo,"08:35   07, Oct.","08:25   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E921,IndiGo,"08:40   07, Oct.","08:30   07, Oct.",Goa   ,GOX,,Bengaluru, (BLR)
6E5296,IndiGo,"08:40   07, Oct.","08:30   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
AI603,Air India,"08:40   07, Oct.","08:40   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E391,IndiGo,"08:55   07, Oct.","08:45   07, Oct.",Pune   ,PNQ,,Bengaluru, (BLR)
UK851,Vistara,"08:50   07, Oct.","08:50   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
EK564,Emirates,"08:55   07, Oct.","08:55   07, Oct.",Dubai   ,DXB,T2,Bengaluru, (BLR)
6E475,IndiGo,"09:05   07, Oct.","08:55   07, Oct.",Coimbatore   ,CJB,,Bengaluru, (BLR)
AI803,Air India,"09:00   07, Oct.","09:00   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E7233,IndiGo,"09:10   07, Oct.","09:00   07, Oct.",Hubballi   ,HBX,,Bengaluru, (BLR)
UK811,Vistara,"09:05   07, Oct.","09:05   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E287,IndiGo,"09:15   07, Oct.","09:05   07, Oct.",Visakhapatnam   ,VTZ,,Bengaluru, (BLR)
6E7245,IndiGo,"09:15   07, Oct.","09:05   07, Oct.",Tiruchirappalli ,TRZ,,Bengaluru, (BLR)
6E496,IndiGo,"09:20   07, Oct.","09:10   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
6E6293,IndiGo,"09:30   07, Oct.","09:20   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E393,IndiGo,"09:45   07, Oct.","09:35   07, Oct.",Bhubaneswar   ,BBI,,Bengaluru, (BLR)
6E6137,IndiGo,"09:50   07, Oct.","09:40   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
6E2403,IndiGo,"09:50   07, Oct.","09:40   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E295,IndiGo,"09:50   07, Oct.","09:40   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
UK898,Vistara,"09:55   07, Oct.","09:55   07, Oct.",Hyderabad   ,HYD,T2,Bengaluru, (BLR)
6E7203,IndiGo,"10:05   07, Oct.","09:55   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
6E7257,IndiGo,"10:10   07, Oct.","10:00   07, Oct.",Madurai   ,IXM,,Bengaluru, (BLR)
6E7729,IndiGo,"10:15   07, Oct.","10:05   07, Oct.",Kannur   ,CNN,,Bengaluru, (BLR)
6E909,IndiGo,"10:20   07, Oct.","10:10   07, Oct.",Nagpur   ,NAG,,Bengaluru, (BLR)
6E5347,IndiGo,"10:20   07, Oct.","10:10   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
I51622,AirAsia India,"10:15   07, Oct.","10:15   07, Oct.",Ranchi   ,IXR,T2,Bengaluru, (BLR)
SV866,Saudia Arabian Airlines,"10:15   07, Oct.","10:15   07, Oct.",Jeddah   ,JED,T2,Bengaluru, (BLR)
6E5211,IndiGo,"10:25   07, Oct.","10:15   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E6066,IndiGo,"10:30   07, Oct.","10:20   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
6E6799,IndiGo,"10:30   07, Oct.","10:20   07, Oct.",Ranchi   ,IXR,,Bengaluru, (BLR)
6E7113,IndiGo,"10:35   07, Oct.","10:25   07, Oct.",Rajahmundry   ,RJA,,Bengaluru, (BLR)
6E308,IndiGo,"10:45   07, Oct.","10:35   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E358,IndiGo,"10:45   07, Oct.","10:35   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
MH104,Malaysia Airlines,"10:40   07, Oct.","10:40   07, Oct.",Kuala Lumpur   ,KUL,T2,Bengaluru, (BLR)
I5740,AirAsia India,"10:40   07, Oct.","10:40   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E144,IndiGo,"10:50   07, Oct.","10:40   07, Oct.",Varanasi   ,VNS,,Bengaluru, (BLR)
UK863,Vistara,"10:50   07, Oct.","10:50   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
UK815,Vistara,"10:50   07, Oct.","10:50   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E247,IndiGo,"11:00   07, Oct.","10:50   07, Oct.",Patna   ,PAT,,Bengaluru, (BLR)
SQ508,Singapore Airlines,"10:55   07, Oct.","10:55   07, Oct.",Singapore   ,SIN,T2,Bengaluru, (BLR)
AI813,Air India,"10:55   07, Oct.","10:55   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
QP1110,Akasa Air,"11:05   07, Oct.","10:55   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
I51536,AirAsia India,"11:00   07, Oct.","11:00   07, Oct.",Kolkata   ,CCU,T2,Bengaluru, (BLR)
6E6542,IndiGo,"11:10   07, Oct.","11:00   07, Oct.",Guwahati   ,GAU,,Bengaluru, (BLR)
6E6634,IndiGo,"11:15   07, Oct.","11:05   07, Oct.",Chandigarh   ,IXC,,Bengaluru, (BLR)
AI639,Air India,"11:10   07, Oct.","11:10   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E764,IndiGo,"11:20   07, Oct.","11:10   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
6E823,IndiGo,"11:25   07, Oct.","11:15   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
I51565,AirAsia India,"11:20   07, Oct.","11:20   07, Oct.",Bhubaneswar   ,BBI,T2,Bengaluru, (BLR)
AI515,Air India,"11:25   07, Oct.","11:25   07, Oct.",Hyderabad   ,HYD,T2,Bengaluru, (BLR)
6E5212,IndiGo,"11:35   07, Oct.","11:25   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E703,IndiGo,"11:40   07, Oct.","11:30   07, Oct.",Bhopal   ,BHO,,Bengaluru, (BLR)
6E6482,IndiGo,"11:40   07, Oct.","11:30   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
6E325,IndiGo,"11:45   07, Oct.","11:35   07, Oct.",Lucknow   ,LKO,,Bengaluru, (BLR)
6E406,IndiGo,"11:50   07, Oct.","11:40   07, Oct.",Raipur   ,RPR,,Bengaluru, (BLR)
I51781,AirAsia India,"11:45   07, Oct.","11:45   07, Oct.",Guwahati   ,GAU,T2,Bengaluru, (BLR)
UK801,Vistara,"11:50   07, Oct.","11:50   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E2069,IndiGo,"12:05   07, Oct.","11:55   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6892,IndiGo,"12:15   07, Oct.","12:05   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
9I502,Alliance Air,"12:10   07, Oct.","12:10   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
I51453,AirAsia India,"12:10   07, Oct.","12:10   07, Oct.",Kolkata   ,CCU,T2,Bengaluru, (BLR)
I51426,AirAsia India,"12:25   07, Oct.","12:25   07, Oct.",Lucknow   ,LKO,T2,Bengaluru, (BLR)
6E445,IndiGo,"12:35   07, Oct.","12:25   07, Oct.",Bagdogra   ,IXB,,Bengaluru, (BLR)
SG328,SpiceJet,"12:30   07, Oct.","12:30   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
I51529,AirAsia India,"12:30   07, Oct.","12:30   07, Oct.",Hyderabad   ,HYD,T2,Bengaluru, (BLR)
AI506,Air India,"12:30   07, Oct.","12:30   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E6523,IndiGo,"12:40   07, Oct.","12:30   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
6E172,IndiGo,"12:40   07, Oct.","12:30   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
6E7286,IndiGo,"12:50   07, Oct.","12:40   07, Oct.",Belgaum   ,IXG,,Bengaluru, (BLR)
6E196,IndiGo,"12:50   07, Oct.","12:40   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
6E661,IndiGo,"12:50   07, Oct.","12:40   07, Oct.",Thiruvananthapuram   ,TRV,,Bengaluru, (BLR)
SG2928,SpiceJet,"12:50   07, Oct.","12:50   07, Oct.",Gwalior   ,GWL,,Bengaluru, (BLR)
6E5069,IndiGo,"13:00   07, Oct.","12:50   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E6567,IndiGo,"13:10   07, Oct.","13:00   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
6E6584,IndiGo,"13:25   07, Oct.","13:15   07, Oct.",Goa   ,GOX,,Bengaluru, (BLR)
6E6797,IndiGo,"13:35   07, Oct.","13:25   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
I5972,AirAsia India,"13:30   07, Oct.","13:30   07, Oct.",Kochi   ,COK,T2,Bengaluru, (BLR)
6E7223,IndiGo,"13:40   07, Oct.","13:30   07, Oct.",Madurai   ,IXM,,Bengaluru, (BLR)
QP1373,Akasa Air,"13:45   07, Oct.","13:35   07, Oct.",Bagdogra   ,IXB,,Bengaluru, (BLR)
S5132,Star Air,"13:50   07, Oct.","13:40   07, Oct.",Jamnagar   ,JGA,T2,Bengaluru, (BLR)
6E6379,IndiGo,"13:50   07, Oct.","13:40   07, Oct.",Prayagraj   ,IXD,,Bengaluru, (BLR)
IX1613,Air India Express,"13:50   07, Oct.","13:50   07, Oct.",Jaipur   ,JAI,T2,Bengaluru, (BLR)
6E6162,IndiGo,"14:05   07, Oct.","13:55   07, Oct.",Patna   ,PAT,,Bengaluru, (BLR)
WY283,Oman Air,"14:05   07, Oct.","13:55   07, Oct.",Muscat   ,MCT,T2,Bengaluru, (BLR)
AI601,Air India,"14:00   07, Oct.","14:00   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E5382,IndiGo,"14:15   07, Oct.","14:05   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
I5820,AirAsia India,"14:10   07, Oct.","14:10   07, Oct.",Ranchi   ,IXR,T2,Bengaluru, (BLR)
9I506,Alliance Air,"14:20   07, Oct.","14:20   07, Oct.",Agatti   ,AGX,,Bengaluru, (BLR)
6E1056,IndiGo,"14:30   07, Oct.","14:20   07, Oct.",Bangkok   ,BKK,T2,Bengaluru, (BLR)
S5118,Star Air,"14:30   07, Oct.","14:20   07, Oct.",Kalaburagi   ,GBI,T2,Bengaluru, (BLR)
6E7072,IndiGo,"14:35   07, Oct.","14:25   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
6E6383,IndiGo,"14:40   07, Oct.","14:30   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6147,IndiGo,"14:45   07, Oct.","14:35   07, Oct.",Thiruvananthapuram   ,TRV,,Bengaluru, (BLR)
SG497,SpiceJet,"14:40   07, Oct.","14:40   07, Oct.",Patna   ,PAT,,Bengaluru, (BLR)
