Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
SG497,SpiceJet,Patna ,PAT,T1,Bengaluru,BLR,14:40:00,2023-10-07,14:40:00,2023-10-07,737
6E6609,IndiGo,Shirdi ,SAG,T1,Bengaluru,BLR,15:00:00,2023-10-07,14:50:00,2023-10-07,32N
QP1625,Akasa Air,Lucknow ,LKO,T1,Bengaluru,BLR,15:10:00,2023-10-07,15:00:00,2023-10-07,7M8
6E6605,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,15:10:00,2023-10-07,15:00:00,2023-10-07,32Q
I51983,AirAsia India,Bagdogra ,IXB,T2,Bengaluru,BLR,15:05:00,2023-10-07,15:05:00,2023-10-07,A320
6E455,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,15:20:00,2023-10-07,15:10:00,2023-10-07,32Q
6E6992,IndiGo,Durgapur ,RDP,T1,Bengaluru,BLR,15:25:00,2023-10-07,15:15:00,2023-10-07,32Q
QF67,Qantas Airways,Sydney ,SYD,T2,Bengaluru,BLR,15:20:00,2023-10-07,15:20:00,2023-10-07,332
SG3999,SpiceJet,Pondicherry ,PNY,T1,Bengaluru,BLR,15:20:00,2023-10-07,15:20:00,2023-10-07,DH8
6E453,IndiGo,Bagdogra ,IXB,T1,Bengaluru,BLR,15:35:00,2023-10-07,15:25:00,2023-10-07,32N
I51543,AirAsia India,Jaipur ,JAI,T2,Bengaluru,BLR,15:35:00,2023-10-07,15:35:00,2023-10-07,A20N
6E6536,IndiGo,Bhubaneswar ,BBI,T1,Bengaluru,BLR,15:45:00,2023-10-07,15:35:00,2023-10-07,32Q
6E337,IndiGo,Raipur ,RPR,T1,Bengaluru,BLR,15:45:00,2023-10-07,15:35:00,2023-10-07,32Q
I51455,AirAsia India,Goa ,GOI,T2,Bengaluru,BLR,15:40:00,2023-10-07,15:40:00,2023-10-07,A320
6E381,IndiGo,Goa ,GOI,T1,Bengaluru,BLR,15:50:00,2023-10-07,15:40:00,2023-10-07,32N
6E6012,IndiGo,Kanpur ,KNU,T1,Bengaluru,BLR,15:55:00,2023-10-07,15:45:00,2023-10-07,32A
6E7258,IndiGo,Tirupati ,TIR,T1,Bengaluru,BLR,15:55:00,2023-10-07,15:45:00,2023-10-07,AT7
6E7448,IndiGo,Kolhapur ,KLH,T1,Bengaluru,BLR,16:00:00,2023-10-07,15:50:00,2023-10-07,AT7
6E7106,IndiGo,Visakhapatnam ,VTZ,T1,Bengaluru,BLR,16:00:00,2023-10-07,15:50:00,2023-10-07,AT7
UK882,Vistara,Goa ,GOI,T2,Bengaluru,BLR,15:55:00,2023-10-07,15:55:00,2023-10-07,320
6E7279,IndiGo,Tiruchirappalli ,TRZ,T1,Bengaluru,BLR,16:05:00,2023-10-07,15:55:00,2023-10-07,AT7
6E1168,IndiGo,Colombo ,CMB,T2,Bengaluru,BLR,16:05:00,2023-10-07,15:55:00,2023-10-07,32N
6E2514,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,16:10:00,2023-10-07,16:00:00,2023-10-07,32N
6E422,IndiGo,Visakhapatnam ,VTZ,T1,Bengaluru,BLR,16:10:00,2023-10-07,16:00:00,2023-10-07,32N
QP1384,Akasa Air,Bhubaneswar ,BBI,T1,Bengaluru,BLR,16:15:00,2023-10-07,16:05:00,2023-10-07,7M8
QP1397,Akasa Air,Goa ,GOX,T1,Bengaluru,BLR,16:20:00,2023-10-07,16:10:00,2023-10-07,7M8
6E6257,IndiGo,Dimapur ,DMU,T1,Bengaluru,BLR,16:25:00,2023-10-07,16:15:00,2023-10-07,32A
AI502,Air India,Delhi ,DEL,T2,Bengaluru,BLR,16:20:00,2023-10-07,16:20:00,2023-10-07,321
6E6128,IndiGo,Jodhpur ,JDH,T1,Bengaluru,BLR,16:30:00,2023-10-07,16:20:00,2023-10-07,32Q
RA225,Nepal Airlines,Kathmandu ,KTM,T2,Bengaluru,BLR,16:30:00,2023-10-07,16:20:00,2023-10-07,320
6E152,IndiGo,Port Blair ,IXZ,T1,Bengaluru,BLR,16:35:00,2023-10-07,16:25:00,2023-10-07,32N
6E5294,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,16:40:00,2023-10-07,16:30:00,2023-10-07,32Q
6E7182,IndiGo,Thoothukudi ,TCR,T1,Bengaluru,BLR,16:50:00,2023-10-07,16:40:00,2023-10-07,AT7
UK819,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,16:45:00,2023-10-07,16:45:00,2023-10-07,321
6E6534,IndiGo,Bareilly ,BEK,T1,Bengaluru,BLR,17:05:00,2023-10-07,16:55:00,2023-10-07,32N
6E758,IndiGo,Ahmedabad ,AMD,T1,Bengaluru,BLR,17:05:00,2023-10-07,16:55:00,2023-10-07,32Q
6E968,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,17:05:00,2023-10-07,16:55:00,2023-10-07,32Q
6E6402,IndiGo,Chandigarh ,IXC,T1,Bengaluru,BLR,17:10:00,2023-10-07,17:00:00,2023-10-07,32N
6E388,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,17:25:00,2023-10-07,17:15:00,2023-10-07,32N
6E6754,IndiGo,Nagpur ,NAG,T1,Bengaluru,BLR,17:30:00,2023-10-07,17:20:00,2023-10-07,32N
UK512,Vistara,Goa ,GOX,T2,Bengaluru,BLR,17:30:00,2023-10-07,17:30:00,2023-10-07,320
6E929,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,17:40:00,2023-10-07,17:30:00,2023-10-07,32N
UK756,Vistara,Guwahati ,GAU,T2,Bengaluru,BLR,17:35:00,2023-10-07,17:35:00,2023-10-07,320
6E517,IndiGo,Aurangabad ,IXU,T1,Bengaluru,BLR,17:45:00,2023-10-07,17:35:00,2023-10-07,32N
9I528,Alliance Air,Toranagallu ,VDY,T1,Bengaluru,BLR,17:40:00,2023-10-07,17:40:00,2023-10-07,AT7
UK853,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,17:45:00,2023-10-07,17:45:00,2023-10-07,320
6E7423,IndiGo,Vijayawada ,VGA,T1,Bengaluru,BLR,17:55:00,2023-10-07,17:45:00,2023-10-07,AT7
S5160,Star Air,Bidar ,IXX,T2,Bengaluru,BLR,18:05:00,2023-10-07,17:55:00,2023-10-07,ER4
6E6319,IndiGo,Gorakhpur ,GOP,T1,Bengaluru,BLR,18:10:00,2023-10-07,18:00:00,2023-10-07,32Q
6E1128,IndiGo,Male ,MLE,T2,Bengaluru,BLR,18:15:00,2023-10-07,18:05:00,2023-10-07,32Q
QP1401,Akasa Air,Lucknow ,LKO,T1,Bengaluru,BLR,18:15:00,2023-10-07,18:05:00,2023-10-07,7M8
QP1365,Akasa Air,Pune ,PNQ,T1,Bengaluru,BLR,18:15:00,2023-10-07,18:05:00,2023-10-07,7M8
SG4004,SpiceJet,Shirdi ,SAG,T1,Bengaluru,BLR,18:10:00,2023-10-07,18:10:00,2023-10-07,DH8
6E781,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,18:20:00,2023-10-07,18:10:00,2023-10-07,32Q
UK658,Vistara,Chandigarh ,IXC,T2,Bengaluru,BLR,18:20:00,2023-10-07,18:20:00,2023-10-07,320
I51531,AirAsia India,Bagdogra ,IXB,T2,Bengaluru,BLR,18:25:00,2023-10-07,18:25:00,2023-10-07,A320
AI607,Air India,Mumbai ,BOM,T2,Bengaluru,BLR,18:25:00,2023-10-07,18:25:00,2023-10-07,321
6E5221,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,18:35:00,2023-10-07,18:25:00,2023-10-07,32Q
6E532,IndiGo,Coimbatore ,CJB,T1,Bengaluru,BLR,18:35:00,2023-10-07,18:25:00,2023-10-07,32Q
AI815,Air India,Delhi ,DEL,T2,Bengaluru,BLR,18:35:00,2023-10-07,18:35:00,2023-10-07,321
9I518,Alliance Air,Hyderabad ,HYD,T1,Bengaluru,BLR,18:40:00,2023-10-07,18:40:00,2023-10-07,NA
UK817,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,18:45:00,2023-10-07,18:45:00,2023-10-07,321
6E435,IndiGo,Lucknow ,LKO,T1,Bengaluru,BLR,18:55:00,2023-10-07,18:45:00,2023-10-07,32N
6E525,IndiGo,Imphal ,IMF,T1,Bengaluru,BLR,19:00:00,2023-10-07,18:50:00,2023-10-07,32Q
6E6417,IndiGo,Darbhanga ,DBR,T1,Bengaluru,BLR,19:05:00,2023-10-07,18:55:00,2023-10-07,32N
6E7232,IndiGo,Rajahmundry ,RJA,T1,Bengaluru,BLR,19:05:00,2023-10-07,18:55:00,2023-10-07,AT7
6E141,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,19:10:00,2023-10-07,19:00:00,2023-10-07,32A
6E412,IndiGo,Udaipur ,UDR,T1,Bengaluru,BLR,19:10:00,2023-10-07,19:00:00,2023-10-07,32Q
6E478,IndiGo,Srinagar ,SXR,T1,Bengaluru,BLR,19:15:00,2023-10-07,19:05:00,2023-10-07,32N
6E757,IndiGo,Jorhat ,JRH,T1,Bengaluru,BLR,19:20:00,2023-10-07,19:10:00,2023-10-07,32A
UK849,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,19:15:00,2023-10-07,19:15:00,2023-10-07,320
EK566,Emirates,Dubai ,DXB,T2,Bengaluru,BLR,19:20:00,2023-10-07,19:20:00,2023-10-07,77W
I5991,AirAsia India,Kolkata ,CCU,T2,Bengaluru,BLR,19:20:00,2023-10-07,19:20:00,2023-10-07,A320
6E347,IndiGo,Dehradun ,DED,T1,Bengaluru,BLR,19:30:00,2023-10-07,19:20:00,2023-10-07,32A
SG496,SpiceJet,Darbhanga ,DBR,T1,Bengaluru,BLR,19:25:00,2023-10-07,19:25:00,2023-10-07,7M8
6E7357,IndiGo,Madurai ,IXM,T1,Bengaluru,BLR,19:35:00,2023-10-07,19:25:00,2023-10-07,AT7
6E6614,IndiGo,Chandigarh ,IXC,T1,Bengaluru,BLR,19:35:00,2023-10-07,19:25:00,2023-10-07,32Q
QP1139,Akasa Air,Mumbai ,BOM,T1,Bengaluru,BLR,19:45:00,2023-10-07,19:35:00,2023-10-07,7M8
6E7364,IndiGo,Kannur ,CNN,T1,Bengaluru,BLR,19:45:00,2023-10-07,19:35:00,2023-10-07,AT7
EY238,Etihad,Abu Dhabi ,AUH,T2,Bengaluru,BLR,19:40:00,2023-10-07,19:40:00,2023-10-07,B789
QP1324,Akasa Air,Agartala ,IXA,T1,Bengaluru,BLR,19:50:00,2023-10-07,19:40:00,2023-10-07,7M8
6E808,IndiGo,Vadodara ,BDQ,T1,Bengaluru,BLR,19:55:00,2023-10-07,19:45:00,2023-10-07,32Q
I55002,AirAsia India,Delhi ,DEL,T2,Bengaluru,BLR,19:50:00,2023-10-07,19:50:00,2023-10-07,A320
6E2487,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,20:00:00,2023-10-07,19:50:00,2023-10-07,32Q
I51563,AirAsia India,Kolkata ,CCU,T2,Bengaluru,BLR,19:55:00,2023-10-07,19:55:00,2023-10-07,320
6E979,IndiGo,Raipur ,RPR,T1,Bengaluru,BLR,20:05:00,2023-10-07,19:55:00,2023-10-07,32Q
6E5067,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,20:15:00,2023-10-07,20:05:00,2023-10-07,32Q
UL171,Sri Lankan Airlines,Colombo ,CMB,T2,Bengaluru,BLR,20:10:00,2023-10-07,20:10:00,2023-10-07,320
6E189,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,20:20:00,2023-10-07,20:10:00,2023-10-07,32Q
AI807,Air India,Delhi ,DEL,T2,Bengaluru,BLR,20:15:00,2023-10-07,20:15:00,2023-10-07,319
6E6055,IndiGo,Pune ,PNQ,T1,Bengaluru,BLR,20:30:00,2023-10-07,20:20:00,2023-10-07,32N
AI641,Air India,Mumbai ,BOM,T2,Bengaluru,BLR,20:25:00,2023-10-07,20:25:00,2023-10-07,320
6E691,IndiGo,Thiruvananthapuram ,TRV,T1,Bengaluru,BLR,20:35:00,2023-10-07,20:25:00,2023-10-07,32Q
QP1306,Akasa Air,Mumbai ,BOM,T1,Bengaluru,BLR,20:35:00,2023-10-07,20:25:00,2023-10-07,7M8
6E776,IndiGo,Visakhapatnam ,VTZ,T1,Bengaluru,BLR,20:35:00,2023-10-07,20:25:00,2023-10-07,32A
UK813,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,20:30:00,2023-10-07,20:30:00,2023-10-07,320
6E7239,IndiGo,Belgaum ,IXG,T1,Bengaluru,BLR,20:40:00,2023-10-07,20:30:00,2023-10-07,AT7
I5974,AirAsia India,Goa ,GOI,T2,Bengaluru,BLR,20:40:00,2023-10-07,20:40:00,2023-10-07,320
I52991,AirAsia India,Bhubaneswar ,BBI,T2,Bengaluru,BLR,20:45:00,2023-10-07,20:45:00,2023-10-07,320
6E556,IndiGo,Jaipur ,JAI,T1,Bengaluru,BLR,20:55:00,2023-10-07,20:45:00,2023-10-07,32A
9I548,Alliance Air,Goa ,GOI,T1,Bengaluru,BLR,20:50:00,2023-10-07,20:50:00,2023-10-07,AT7
6E6251,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,21:00:00,2023-10-07,20:50:00,2023-10-07,32Q
I51427,AirAsia India,Jaipur ,JAI,T2,Bengaluru,BLR,20:55:00,2023-10-07,20:55:00,2023-10-07,320
UK865,Vistara,Dehradun ,DED,T2,Bengaluru,BLR,20:55:00,2023-10-07,20:55:00,2023-10-07,320
6E6922,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,21:05:00,2023-10-07,20:55:00,2023-10-07,32N
6E5034,IndiGo,Surat ,STV,T1,Bengaluru,BLR,21:05:00,2023-10-07,20:55:00,2023-10-07,NA
6E316,IndiGo,Agartala ,IXA,T1,Bengaluru,BLR,21:10:00,2023-10-07,21:00:00,2023-10-07,32A
6E2244,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,21:15:00,2023-10-07,21:05:00,2023-10-07,32Q
6E185,IndiGo,Patna ,PAT,T1,Bengaluru,BLR,21:20:00,2023-10-07,21:10:00,2023-10-07,NA
S5152,Star Air,Hyderabad ,HYD,T2,Bengaluru,BLR,21:25:00,2023-10-07,21:15:00,2023-10-07,ER4
I5554,AirAsia India,Kolkata ,CCU,T2,Bengaluru,BLR,21:30:00,2023-10-07,21:30:00,2023-10-07,320
UK894,Vistara,Hyderabad ,HYD,T2,Bengaluru,BLR,21:40:00,2023-10-07,21:40:00,2023-10-07,320
6E6622,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,21:50:00,2023-10-07,21:40:00,2023-10-07,32Q
I5670,AirAsia India,Jaipur ,JAI,T2,Bengaluru,BLR,21:45:00,2023-10-07,21:45:00,2023-10-07,320
QP1369,Akasa Air,Kochi ,COK,T1,Bengaluru,BLR,21:55:00,2023-10-07,21:45:00,2023-10-07,7M8
SQ510,Singapore Airlines,Singapore ,SIN,T2,Bengaluru,BLR,21:50:00,2023-10-07,21:50:00,2023-10-07,359
6E378,IndiGo,Kozhikode ,CCJ,T1,Bengaluru,BLR,22:00:00,2023-10-07,21:50:00,2023-10-07,32N
6E6481,IndiGo,Ahmedabad ,AMD,T1,Bengaluru,BLR,22:00:00,2023-10-07,21:50:00,2023-10-07,32Q
9I522,Alliance Air,Kochi ,COK,T1,Bengaluru,BLR,21:55:00,2023-10-07,21:55:00,2023-10-07,AT7
6E214,IndiGo,Bhopal ,BHO,T1,Bengaluru,BLR,22:05:00,2023-10-07,21:55:00,2023-10-07,32N
6E5256,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,22:05:00,2023-10-07,21:55:00,2023-10-07,32N
6E285,IndiGo,Hyderabad ,HYD,T1,Bengaluru,BLR,22:10:00,2023-10-07,22:00:00,2023-10-07,NA
6E6886,IndiGo,Pune ,PNQ,T1,Bengaluru,BLR,22:10:00,2023-10-07,22:00:00,2023-10-07,32N
QP1341,Akasa Air,Mumbai ,BOM,T1,Bengaluru,BLR,22:15:00,2023-10-07,22:05:00,2023-10-07,7M8
UK507,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,22:10:00,2023-10-07,22:10:00,2023-10-07,320
I51518,AirAsia India,Goa ,GOI,T2,Bengaluru,BLR,22:15:00,2023-10-07,22:15:00,2023-10-07,320
6E6314,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,22:25:00,2023-10-07,22:15:00,2023-10-07,32N
QP1551,Akasa Air,Pune ,PNQ,T1,Bengaluru,BLR,22:25:00,2023-10-07,22:15:00,2023-10-07,7M8
QP1135,Akasa Air,Guwahati ,GAU,T1,Bengaluru,BLR,22:25:00,2023-10-07,22:15:00,2023-10-07,7M8
6E5355,IndiGo,Coimbatore ,CJB,T1,Bengaluru,BLR,22:30:00,2023-10-07,22:20:00,2023-10-07,32Q
6E593,IndiGo,Chandigarh ,IXC,T1,Bengaluru,BLR,22:30:00,2023-10-07,22:20:00,2023-10-07,32A
FD137,Thai AirAsia,Bangkok ,DMK,T2,Bengaluru,BLR,22:40:00,2023-10-07,22:30:00,2023-10-07,320
6E472,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,22:40:00,2023-10-07,22:30:00,2023-10-07,32N
SG457,SpiceJet,Mumbai ,BOM,T1,Bengaluru,BLR,22:35:00,2023-10-07,22:35:00,2023-10-07,737
AI512,Air India,Delhi ,DEL,T2,Bengaluru,BLR,22:35:00,2023-10-07,22:35:00,2023-10-07,319
I5992,AirAsia India,Kochi ,COK,T2,Bengaluru,BLR,22:35:00,2023-10-07,22:35:00,2023-10-07,320
6E6859,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,22:45:00,2023-10-07,22:35:00,2023-10-07,32A
UK809,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,22:40:00,2023-10-07,22:40:00,2023-10-07,320
6E7389,IndiGo,Madurai ,IXM,T1,Bengaluru,BLR,22:50:00,2023-10-07,22:40:00,2023-10-07,AT7
QP1424,Akasa Air,Varanasi ,VNS,T1,Bengaluru,BLR,22:55:00,2023-10-07,22:45:00,2023-10-07,7M8
6E7378,IndiGo,Hubballi ,HBX,T1,Bengaluru,BLR,22:55:00,2023-10-07,22:45:00,2023-10-07,AT7
IX1229,Air India Express,Jaipur ,JAI,T2,Bengaluru,BLR,22:50:00,2023-10-07,22:50:00,2023-10-07,738
6E7133,IndiGo,Vijayawada ,VGA,T1,Bengaluru,BLR,23:00:00,2023-10-07,22:50:00,2023-10-07,AT7
UK857,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,22:55:00,2023-10-07,22:55:00,2023-10-07,320
6E5385,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,23:05:00,2023-10-07,22:55:00,2023-10-07,32Q
6E7447,IndiGo,Kannur ,CNN,T1,Bengaluru,BLR,23:05:00,2023-10-07,22:55:00,2023-10-07,AT7
6E2302,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,23:05:00,2023-10-07,22:55:00,2023-10-07,32Q
6E6298,IndiGo,Goa ,GOI,T1,Bengaluru,BLR,23:10:00,2023-10-07,23:00:00,2023-10-07,32A
6E611,IndiGo,Bhubaneswar ,BBI,T1,Bengaluru,BLR,23:10:00,2023-10-07,23:00:00,2023-10-07,32N
6E5388,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,23:15:00,2023-10-07,23:05:00,2023-10-07,32N
QP1326,Akasa Air,Ahmedabad ,AMD,T1,Bengaluru,BLR,23:20:00,2023-10-07,23:10:00,2023-10-07,7M8
I5821,AirAsia India,Guwahati ,GAU,T2,Bengaluru,BLR,23:15:00,2023-10-07,23:15:00,2023-10-07,320
UK807,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,23:20:00,2023-10-07,23:20:00,2023-10-07,320
AF194,Air France,Paris ,CDG,T2,Bengaluru,BLR,23:30:00,2023-10-07,23:20:00,2023-10-07,332
TG325,Thai Airways,Bangkok ,BKK,T2,Bengaluru,BLR,23:25:00,2023-10-07,23:25:00,2023-10-07,359
QP1350,Akasa Air,Delhi ,DEL,T1,Bengaluru,BLR,23:35:00,2023-10-07,23:25:00,2023-10-07,7M8
6E2338,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,23:40:00,2023-10-07,23:30:00,2023-10-07,32N
6E499,IndiGo,Varanasi ,VNS,T1,Bengaluru,BLR,23:40:00,2023-10-07,23:30:00,2023-10-07,32Q
I51569,AirAsia India,Delhi ,DEL,T2,Bengaluru,BLR,23:35:00,2023-10-07,23:35:00,2023-10-07,320
6E7166,IndiGo,Tiruchirappalli ,TRZ,T1,Bengaluru,BLR,23:45:00,2023-10-07,23:35:00,2023-10-07,AT7
MH192,Malaysia Airlines,Kuala Lumpur ,KUL,T2,Bengaluru,BLR,23:40:00,2023-10-07,23:40:00,2023-10-07,738
6E487,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,23:50:00,2023-10-07,23:40:00,2023-10-07,32A
6E6803,IndiGo,Nagpur ,NAG,T1,Bengaluru,BLR,23:55:00,2023-10-07,23:45:00,2023-10-07,32Q
